L1,L2,Spherical,Coma,Astig,CLon,EFFL_mm,MS_d,GEO_over_Airy,RMS_over_Airy,GEO_R_avg_mm,RMS_R_avg_mm,EE_info,source_file,source_path,EE1,EE2,EE3,EE4
A86-82,ADF355,-14.72,-9.43,5.25,20.36,9127.184014,1.30664e-05,59.3,27.04,132.042892,60.19699,"[43.35056736848453, 39.65321524177627, 39.452936101920145, 40.93713306349929]",metrics_A86-82_ADF355.txt,Results\metrics_A86-82_ADF355.txt,43.35056736848453,39.65321524177627,39.452936101920145,40.93713306349929
A86-82,BAFD1,-17.1,-9.03,9.69,18.11,9127.193854,-3.89803e-06,43.31,25.41,96.424509,56.574706,"[27.459960313794163, 53.560398230832305, 53.41494150690538, 74.67476300870416]",metrics_A86-82_BAFD1.txt,Results\metrics_A86-82_BAFD1.txt,27.459960313794163,53.560398230832305,53.41494150690538,74.67476300870416
A86-82,BAFD3,-16.96,-8.8,9.9,19.55,9127.189035,-6.72426e-06,54.98,28.9,122.42768,64.345211,"[32.85227070978427, 54.8676702193235, 54.81710751849796, 86.77028679456768]",metrics_A86-82_BAFD3.txt,Results\metrics_A86-82_BAFD3.txt,32.85227070978427,54.8676702193235,54.81710751849796,86.77028679456768
A86-82,C04-38,-17.01,-8.83,10.01,17.03,9127.188281,-1.34579e-05,43.77,24.32,97.453351,54.152171,"[22.147337429443226, 48.86114070037722, 48.74134878148365, 71.15469560233909]",metrics_A86-82_C04-38.txt,Results\metrics_A86-82_C04-38.txt,22.147337429443226,48.86114070037722,48.74134878148365,71.15469560233909
A86-82,C20-36,-19.78,-9.09,12.21,14.51,9127.204447,-1.24576e-05,37.62,19.11,83.775872,42.541835,"[18.167144135712913, 33.535835131781376, 33.76045007047112, 52.85268344601221]",metrics_A86-82_C20-36.txt,Results\metrics_A86-82_C20-36.txt,18.167144135712913,33.535835131781376,33.76045007047112,52.85268344601221
A86-82,C26-36,-19.79,-9.28,12.28,13.49,9127.19231,-1.63518e-05,37.46,20.02,83.410238,44.568262,"[16.99786388250439, 37.91936234834422, 37.633902756871315, 55.21540350424199]",metrics_A86-82_C26-36.txt,Results\metrics_A86-82_C26-36.txt,16.99786388250439,37.91936234834422,37.633902756871315,55.21540350424199
A86-82,C37-35,-17.89,-9.69,8.61,13.05,9127.194573,-6.45181e-06,36.75,20.38,81.836463,45.372178,"[12.161381785182446, 42.96970425467612, 42.7973842973165, 57.730908747196054]",metrics_A86-82_C37-35.txt,Results\metrics_A86-82_C37-35.txt,12.161381785182446,42.96970425467612,42.7973842973165,57.730908747196054
A86-82,E-F1,-19.77,-9.28,12.27,13.55,9127.192304,-1.45327e-05,37.5,19.4,83.507324,43.206395,"[17.77791419271484, 34.418158719021854, 34.42935184317955, 52.6071085950567]",metrics_A86-82_E-F1.txt,Results\metrics_A86-82_E-F1.txt,17.77791419271484,34.418158719021854,34.42935184317955,52.6071085950567
A86-82,E-F3,-18.31,-9.03,11.14,15.53,9127.18997,-1.35205e-05,42.05,20.91,93.629278,46.549009,"[23.177987797730992, 37.55413347370623, 37.76125532687881, 52.34778032829707]",metrics_A86-82_E-F3.txt,Results\metrics_A86-82_E-F3.txt,23.177987797730992,37.55413347370623,37.76125532687881,52.34778032829707
A86-82,F11,-19.93,-9.23,12.53,14.0,9127.190972,-2.24374e-05,38.44,22.33,85.585713,49.726869,"[20.18191458310277, 46.19241054536921, 46.078974905471426, 61.64825389311804]",metrics_A86-82_F11.txt,Results\metrics_A86-82_F11.txt,20.18191458310277,46.19241054536921,46.078974905471426,61.64825389311804
